Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Art & Sculpture,34,14935.0,-594.0,-1609.0,12732.0
Basket,13,3744.0,-316.8,0.0,3427.2
Basket,12,3825.0,-201.6,-288.0,3335.4
Basket,17,3035.0,-63.25,0.0,2971.75
Art & Sculpture,47,2696.8,-44.16,0.0,2652.64
Basket,17,2695.0,-52.5,-110.0,2532.5
Basket,20,2310.0,-66.0,-110.0,2134.0
Christmas,90,2160.0,-45.59,0.0,2114.41
Art & Sculpture,10,2250.0,-180.0,0.0,2070.0
Basket,11,1925.0,-17.5,0.0,1907.5
Basket,30,1907.0,-41.3,0.0,1865.7
Home Decor,19,1748.0,-46.85,0.0,1701.15
Basket,15,1725.0,-92.0,0.0,1633.0
Art & Sculpture,2,1625.0,-5.0,0.0,1620.0
Recycled Art,37,1554.0,-29.4,0.0,1524.6
Jewelry,33,1584.0,-67.17,0.0,1516.83
Basket,20,1560.0,-47.8,0.0,1512.2
Jewelry,32,1536.0,-76.8,0.0,1459.2
Home Decor,17,1496.0,-44.0,0.0,1452.0
Basket,5,1467.0,-57.6,0.0,1409.4
Art & Sculpture,9,1466.0,-75.89,0.0,1390.11
Art & Sculpture,11,1375.0,-12.5,0.0,1362.5
Art & Sculpture,58,1392.0,-36.0,0.0,1356.0
Christmas,58,1392.0,-45.6,0.0,1346.4
Jewelry,96,1400.0,-42.0,-56.0,1302.0
Art & Sculpture,3,1660.0,0.0,-365.0,1295.0
Basket,15,1260.0,0.0,0.0,1260.0
Basket,9,1315.0,-57.5,0.0,1257.5
Art & Sculpture,30,1260.0,-46.2,0.0,1213.8
Skin Care,32,1216.0,-26.6,0.0,1189.4
Home Decor,18,1224.0,-40.8,0.0,1183.2
Basket,7,1225.0,-70.0,0.0,1155.0
Art & Sculpture,7,1155.0,-47.51,0.0,1107.49
Home Decor,5,1125.0,-22.5,0.0,1102.5
Basket,4,1152.0,-57.6,0.0,1094.4
Basket,14,1158.0,-67.16,0.0,1090.84
Basket,10,1100.0,-11.0,0.0,1089.0
Kitchen,69,1104.0,-25.6,0.0,1078.4
Basket,10,1100.0,-26.13,0.0,1073.87
Art & Sculpture,15,1110.0,-46.79,0.0,1063.21
Art & Sculpture,18,1352.0,-31.99,-258.0,1062.01
Basket,11,1056.0,-7.57,0.0,1048.43
Home Decor,12,1120.0,-72.0,0.0,1048.0
Basket,6,1050.0,-17.5,0.0,1032.5
Basket,4,1030.0,0.0,0.0,1030.0
Basket,13,1194.0,-8.8,-156.0,1029.2
Art & Sculpture,15,1110.0,-81.38,0.0,1028.62
Art & Sculpture,59,1062.0,-33.6,0.0,1028.4
Basket,6,1225.0,-35.0,-175.0,1015.0
Basket,6,990.0,0.0,0.0,990.0
Basket,6,1050.0,-78.75,0.0,971.25
Basket,9,1100.0,-43.99,-99.01,957.0
Home Decor,11,968.0,-17.6,0.0,950.4
Basket,9,990.0,-43.99,0.0,946.01
Basket,7,952.0,-13.6,0.0,938.4
Art & Sculpture,25,950.0,-17.6,0.0,932.4
Basket,5,925.0,0.0,0.0,925.0
Art & Sculpture,2,1150.0,-230.0,0.0,920.0
Basket,3,1179.0,0.0,-288.0,891.0
Christmas,11,924.0,-33.6,0.0,890.4
Art & Sculpture,4,960.0,-72.0,0.0,888.0
Kitchen,24,906.0,-18.99,0.0,887.01
Basket,3,945.0,-63.0,0.0,882.0
Home Decor,7,879.0,0.0,0.0,879.0
Art & Sculpture,10,975.0,-17.59,-79.21,878.2
Basket,11,898.0,-33.2,0.0,864.8
Basket,7,876.5,-12.65,0.0,863.85
Basket,5,875.0,-17.5,0.0,857.5
Art & Sculpture,4,900.0,-45.0,0.0,855.0
Home Decor,9,925.0,-73.5,0.0,851.5
Art & Sculpture,11,858.0,-23.6,0.0,834.4
Jewelry,18,912.0,-45.6,-48.0,818.4
Basket,7,812.0,-11.6,0.0,800.4
Basket,7,1035.0,-23.0,-230.0,782.0
Art & Sculpture,19,798.0,-16.79,0.0,781.21
Basket,16,804.0,-30.8,0.0,773.2
Basket,7,770.0,-3.48,0.0,766.52
Basket,7,775.0,-22.5,0.0,752.5
Basket,7,770.0,-33.0,0.0,737.0
Jewelry,16,768.0,-31.2,0.0,736.8
Basket,9,736.0,0.0,0.0,736.0
Jewelry,16,768.0,-33.6,0.0,734.4
Basket,4,740.0,-18.5,0.0,721.5
Jewelry,15,720.0,-9.6,0.0,710.4
Basket,4,700.0,0.0,0.0,700.0
Basket,6,696.0,-11.6,0.0,684.4
Christmas,18,798.0,-7.6,-114.0,676.4
Basket,5,725.0,-58.0,0.0,667.0
Basket,4,700.0,-35.0,0.0,665.0
Jewelry,25,700.0,-35.8,0.0,664.2
Jewelry,24,672.0,-28.01,0.0,643.99
Art & Sculpture,9,700.0,-57.0,0.0,643.0
Art & Sculpture,2,645.0,-4.15,0.0,640.85
Home Decor,5,631.0,0.0,0.0,631.0
Art & Sculpture,18,648.0,-21.6,0.0,626.4
Art & Sculpture,5,638.0,-12.4,0.0,625.6
Art & Sculpture,5,625.0,0.0,0.0,625.0
Art & Sculpture,5,636.0,-12.4,0.0,623.6
Basket,5,625.0,-12.5,0.0,612.5
Jewelry,13,624.0,-19.2,0.0,604.8
Basket,2,891.0,0.0,-288.0,603.0
Art & Sculpture,4,600.0,-15.0,0.0,585.0
Jewelry,42,602.0,-7.01,-14.0,580.99
Basket,5,580.0,0.0,0.0,580.0
Basket,2,576.0,0.0,0.0,576.0
Skin Care,31,573.5,-1.85,0.0,571.65
Home Decor,7,574.0,-8.2,0.0,565.8
Art & Sculpture,4,565.0,0.0,0.0,565.0
Basket,3,564.0,0.0,0.0,564.0
Kitchen,20,560.0,-2.81,0.0,557.19
Basket,5,575.0,-23.0,0.0,552.0
Basket,5,550.0,0.0,0.0,550.0
Christmas,15,570.0,-20.2,0.0,549.8
Jewelry,40,616.0,-11.2,-56.0,548.8
Art & Sculpture,6,588.0,-48.99,0.0,539.01
Home Decor,6,590.0,-59.0,0.0,531.0
Home Decor,8,544.0,-13.6,0.0,530.4
Basket,5,550.0,-22.0,0.0,528.0
Basket,5,550.0,-22.0,0.0,528.0
Basket,5,550.0,-22.0,0.0,528.0
Basket,19,622.0,-94.6,0.0,527.4
Basket,3,525.0,0.0,0.0,525.0
Basket,3,525.0,0.0,0.0,525.0
Art & Sculpture,6,522.0,0.0,0.0,522.0
Textiles,5,564.0,-44.0,0.0,520.0
Art & Sculpture,13,526.0,-12.6,0.0,513.4
Art & Sculpture,18,516.0,-6.0,0.0,510.0
Basket,12,528.0,-18.8,0.0,509.2
Basket,3,525.0,-17.5,0.0,507.5
Art & Sculpture,14,518.0,-14.6,0.0,503.4
Jewelry,9,522.0,-21.6,0.0,500.4
Kitchen,7,506.0,-5.8,0.0,500.2
Basket,4,500.0,0.0,0.0,500.0
Basket,9,498.0,0.0,0.0,498.0
Jewelry,11,528.0,-33.58,0.0,494.42
Basket,12,546.0,-17.6,-37.0,491.4
Art & Sculpture,9,486.0,-5.4,0.0,480.6
Jewelry,10,480.0,0.0,0.0,480.0
Art & Sculpture,22,506.0,-10.99,-19.8,475.21
Basket,10,480.0,-4.8,0.0,475.2
Art & Sculpture,9,593.0,-9.0,-110.0,474.0
Art & Sculpture,22,484.0,-11.29,0.0,472.71
Basket,4,500.0,-37.5,0.0,462.5
Kitchen,13,468.0,-7.2,0.0,460.8
Art & Sculpture,5,460.0,0.0,0.0,460.0
Basket,4,460.0,0.0,0.0,460.0
Christmas,21,462.0,-2.2,0.0,459.8
Accessories,25,472.0,-14.0,0.0,458.0
Jewelry,17,476.0,-18.2,0.0,457.8
Basket,3,460.0,-2.24,0.0,457.76
Art & Sculpture,7,476.0,-20.4,0.0,455.6
Art & Sculpture,2,450.0,0.0,0.0,450.0
Art & Sculpture,2,450.0,0.0,0.0,450.0
Basket,3,450.0,0.0,0.0,450.0
Art & Sculpture,18,450.0,-5.0,0.0,445.0
Basket,3,460.0,-17.5,0.0,442.5
Art & Sculpture,4,458.0,-15.6,0.0,442.4
Art & Sculpture,6,536.0,-6.8,-88.0,441.2
Jewelry,5,440.0,0.0,0.0,440.0
Christmas,5,440.0,0.0,0.0,440.0
Jewelry,16,448.0,-8.4,0.0,439.6
Art & Sculpture,25,450.0,-14.39,0.0,435.61
Basket,4,440.0,-11.0,0.0,429.0
Christmas,17,442.0,-20.8,0.0,421.2
Kitchen,45,437.0,-10.25,-8.54,418.21
Art & Sculpture,10,420.0,-4.5,0.0,415.5
Art & Sculpture,14,435.0,-20.1,0.0,414.9
Fair Trade Gifts,17,432.0,-19.6,0.0,412.4
Basket,10,420.0,-9.6,0.0,410.4
Basket,2,615.0,0.0,-205.0,410.0
Art & Sculpture,12,432.0,-25.2,0.0,406.8
One-of-a-Kind,1,450.0,-45.0,0.0,405.0
Christmas,12,408.0,-3.4,0.0,404.6
Jewelry,29,462.0,-8.41,-56.0,397.59
Basket,6,408.0,-11.8,0.0,396.2
Basket,4,440.0,-44.0,0.0,396.0
Basket,2,410.0,-20.5,0.0,389.5
Art & Sculpture,3,432.0,-43.2,0.0,388.8
Art & Sculpture,1,385.0,0.0,0.0,385.0
Art & Sculpture,1,385.0,0.0,0.0,385.0
Basket,4,414.0,-33.0,0.0,381.0
Art & Sculpture,6,379.0,0.0,0.0,379.0
Home Decor,3,374.0,0.0,0.0,374.0
Basket,9,378.0,-4.2,0.0,373.8
Art & Sculpture,16,408.0,-13.6,-21.6,372.8
Kitchen,21,374.0,-1.39,0.0,372.61
Art & Sculpture,3,384.0,-12.8,0.0,371.2
Art & Sculpture,4,380.0,-9.5,0.0,370.5
Basket,2,370.0,0.0,0.0,370.0
